"","demoyr","Site","TagNo","DFN","dbh1","ht1","dbhfromDFN","DBH","surv","lags","yr","Temp.Oct.Apr.","Temp.May.Sept.","Precip.Aug.July","fog","cloud"
"6570",2005,"MSC","4900",0.2,NA,14,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65701",2006,"MSC","4900",NA,NA,14,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"65711",2007,"MSC","4900",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6572",2005,"MSC","4901",0.2,NA,13,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65721",2006,"MSC","4901",NA,NA,13,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6573",2007,"MSC","4901",NA,NA,23,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6574",2005,"MSC","4902",0.2,NA,8,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65741",2006,"MSC","4902",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6575",2007,"MSC","4902",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6576",2005,"MSC","4903",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65761",2006,"MSC","4903",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6577",2007,"MSC","4903",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6580",2005,"MSC","4904",0.3,NA,17,0.269909413154784,0.269909413154784,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65801",2006,"MSC","4904",NA,NA,17,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"65811",2007,"MSC","4904",0.4,NA,NA,0.320086648286726,0.320086648286726,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"65812",2008,"MSC","4904",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"65813",2009,"MSC","4904",NA,NA,NA,NA,NA,NA,0,2009,12.529,13.44,595.35,11625.308,9276.037
"6582",2010,"MSC","4904",0.5,NA,43,0.370263883418668,0.370263883418668,1,3,2010,12.971,13.52,797.16,10810.442,6033.497
"6583",2011,"MSC","4904",0.6,NA,64,0.42044111855061,0.42044111855061,1,1,2011,12.9,14.78,340.13,10342.664,7190.291
"65831",2012,"MSC","4904",NA,NA,64,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"6584",2013,"MSC","4904",0.9,NA,73,0.570972823946435,0.570972823946435,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"6585",2014,"MSC","4904",NA,NA,68,NA,NA,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"6587",2005,"MSC","4905",0.2,NA,9,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65871",2006,"MSC","4905",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6588",2007,"MSC","4905",NA,NA,22,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6589",2005,"MSC","4906",0.1,NA,10,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65891",2006,"MSC","4906",NA,NA,10,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6590",2007,"MSC","4906",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"65911",2005,"MSC","4907",0.1,NA,10,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65912",2006,"MSC","4907",NA,NA,10,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6592",2007,"MSC","4907",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6593",2005,"MSC","4908",0.2,NA,7,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65931",2006,"MSC","4908",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6594",2007,"MSC","4908",NA,NA,20,NA,NA,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"65941",2008,"MSC","4908",NA,NA,20,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"65942",2009,"MSC","4908",NA,NA,20,NA,NA,NA,0,2009,12.529,13.44,595.35,11625.308,9276.037
"6595",2010,"MSC","4908",0.2,NA,30,0.219732178022843,0.219732178022843,1,3,2010,12.971,13.52,797.16,10810.442,6033.497
"6596",2011,"MSC","4908",NA,NA,NA,NA,NA,0,1,2011,12.9,14.78,340.13,10342.664,7190.291
"6597",2005,"MSC","4909",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65971",2006,"MSC","4909",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6598",2007,"MSC","4909",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6599",2005,"MSC","4910",0.1,NA,6,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"65991",2006,"MSC","4910",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6600",2007,"MSC","4910",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66011",2005,"MSC","4911",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66012",2006,"MSC","4911",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6602",2007,"MSC","4911",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6603",2005,"MSC","4912",0.2,NA,7,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66031",2006,"MSC","4912",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6604",2007,"MSC","4912",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6605",2005,"MSC","4913",0.1,NA,6,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66051",2006,"MSC","4913",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6606",2007,"MSC","4913",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6607",2005,"MSC","4914",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66071",2006,"MSC","4914",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6608",2007,"MSC","4914",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6611",2005,"MSC","4915",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66111",2006,"MSC","4915",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6612",2007,"MSC","4915",0.1,NA,13,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6613",2005,"MSC","4916",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66131",2006,"MSC","4916",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6614",2007,"MSC","4916",0.1,NA,16,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6615",2005,"MSC","4917",0.2,NA,8,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66151",2006,"MSC","4917",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6616",2007,"MSC","4917",0.1,NA,20,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6617",2005,"MSC","4918",0.1,NA,5,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66171",2006,"MSC","4918",NA,NA,5,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6618",2007,"MSC","4918",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6619",2005,"MSC","4919",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66191",2006,"MSC","4919",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6620",2007,"MSC","4919",0.3,NA,21,0.269909413154784,0.269909413154784,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66201",2008,"MSC","4919",NA,NA,21,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"6621",2009,"MSC","4919",0.4,NA,37,0.320086648286726,0.320086648286726,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"66211",2010,"MSC","4919",NA,NA,37,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"6622",2011,"MSC","4919",0.9,NA,76,0.570972823946435,0.570972823946435,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"66221",2012,"MSC","4919",NA,NA,76,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"6623",2013,"MSC","4919",1.1,NA,76,0.671327294210318,0.671327294210318,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"6624",2014,"MSC","4919",1.1,NA,123,0.671327294210318,0.671327294210318,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"6625",2005,"MSC","4920",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66251",2006,"MSC","4920",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6626",2007,"MSC","4920",0.1,NA,10,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6627",2005,"MSC","4921",0.2,NA,11,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66271",2006,"MSC","4921",NA,NA,11,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6628",2007,"MSC","4921",0.2,NA,30,0.219732178022843,0.219732178022843,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66281",2008,"MSC","4921",NA,NA,30,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"6629",2009,"MSC","4921",0.5,NA,48,0.370263883418668,0.370263883418668,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"66291",2010,"MSC","4921",NA,NA,48,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"6630",2011,"MSC","4921",0.9,NA,99,0.570972823946435,0.570972823946435,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"66301",2012,"MSC","4921",NA,NA,99,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"6631",2013,"MSC","4921",1,0.4,138,0.621150059078376,0.4,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"6632",2014,"MSC","4921",NA,NA,129,NA,NA,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"6633",2005,"MSC","4922",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66331",2006,"MSC","4922",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6634",2007,"MSC","4922",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6635",2005,"MSC","4923",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66351",2006,"MSC","4923",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6636",2007,"MSC","4923",0.1,NA,9,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6637",2005,"MSC","4924",0.1,NA,5,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66371",2006,"MSC","4924",NA,NA,5,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6638",2007,"MSC","4924",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6639",2005,"MSC","4925",0.1,NA,5,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66391",2006,"MSC","4925",NA,NA,5,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6640",2007,"MSC","4925",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66411",2005,"MSC","4926",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66412",2006,"MSC","4926",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6642",2007,"MSC","4926",0.2,NA,13,0.219732178022843,0.219732178022843,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6643",2005,"MSC","4927",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66431",2006,"MSC","4927",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6644",2007,"MSC","4927",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6645",2005,"MSC","4928",0.1,NA,6,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66451",2006,"MSC","4928",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6646",2007,"MSC","4928",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6647",2005,"MSC","4929",0.2,NA,6,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66471",2006,"MSC","4929",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6648",2007,"MSC","4929",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6649",2005,"MSC","4930",0.1,NA,6,0.169554942890901,0.169554942890901,0,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66511",2005,"MSC","4931",0.2,NA,13,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66512",2006,"MSC","4931",NA,NA,13,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6652",2007,"MSC","4931",0.2,NA,23,0.219732178022843,0.219732178022843,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66521",2008,"MSC","4931",NA,NA,23,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"6653",2009,"MSC","4931",0.4,NA,34,0.320086648286726,0.320086648286726,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"66531",2010,"MSC","4931",NA,NA,34,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"6654",2011,"MSC","4931",0.7,NA,70,0.470618353682551,0.470618353682551,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"66541",2012,"MSC","4931",NA,NA,70,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"6655",2013,"MSC","4931",0.7,NA,89,0.470618353682551,0.470618353682551,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"6656",2014,"MSC","4931",0.9,NA,90,0.570972823946435,0.570972823946435,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"6657",2005,"MSC","4932",0.2,NA,7,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66571",2006,"MSC","4932",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6658",2007,"MSC","4932",0.2,NA,19,0.219732178022843,0.219732178022843,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66581",2008,"MSC","4932",NA,NA,19,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"6659",2009,"MSC","4932",0.4,NA,29,0.320086648286726,0.320086648286726,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"66591",2010,"MSC","4932",NA,NA,29,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"6660",2011,"MSC","4932",0.6,NA,61,0.42044111855061,0.42044111855061,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"66601",2012,"MSC","4932",NA,NA,61,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"66611",2013,"MSC","4932",1.3,NA,61,0.771681764474201,0.771681764474201,1,2,2013,14.357,16.06,192.27,12276.104,7806.735
"6662",2014,"MSC","4932",0.8,NA,86,0.520795588814493,0.520795588814493,0,1,2014,15.686,15.44,354.61,12973.756,10639.12
"6663",2005,"MSC","4933",0.2,NA,5,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66631",2006,"MSC","4933",NA,NA,5,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6664",2007,"MSC","4933",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6665",2005,"MSC","4934",0.1,NA,5,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66651",2006,"MSC","4934",NA,NA,5,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6666",2007,"MSC","4934",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6667",2005,"MSC","4935",0.1,NA,4,0.169554942890901,0.169554942890901,0,0,2005,13.057,14.78,482.06,10577.29,8228.298
"6669",2005,"MSC","4936",0.1,NA,6,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66691",2006,"MSC","4936",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6670",2007,"MSC","4936",NA,NA,NA,NA,NA,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66711",2005,"MSC","4937",0.1,NA,6,0.169554942890901,0.169554942890901,0,0,2005,13.057,14.78,482.06,10577.29,8228.298
"6674",2005,"MSC","4938",0.1,NA,10,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66741",2006,"MSC","4938",NA,NA,10,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6675",2007,"MSC","4938",0.1,NA,11,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6676",2005,"MSC","4939",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66761",2006,"MSC","4939",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6677",2007,"MSC","4939",0.1,NA,12,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6678",2005,"MSC","4940",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66781",2006,"MSC","4940",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6679",2007,"MSC","4940",0.2,NA,14,0.219732178022843,0.219732178022843,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"66791",2008,"MSC","4940",NA,NA,14,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"6680",2009,"MSC","4940",0.3,NA,16,0.269909413154784,0.269909413154784,1,2,2009,12.529,13.44,595.35,11625.308,9276.037
"66801",2010,"MSC","4940",NA,NA,16,NA,NA,NA,0,2010,12.971,13.52,797.16,10810.442,6033.497
"6681",2011,"MSC","4940",0.3,NA,14,0.269909413154784,0.269909413154784,1,2,2011,12.9,14.78,340.13,10342.664,7190.291
"66811",2012,"MSC","4940",NA,NA,14,NA,NA,NA,0,2012,13.814,15.58,228.58,11340.241,8652.612
"6682",2013,"MSC","4940",0.3,NA,14,0.269909413154784,0.269909413154784,0,2,2013,14.357,16.06,192.27,12276.104,7806.735
"6683",2005,"MSC","4941",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66831",2006,"MSC","4941",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6684",2007,"MSC","4941",0.1,NA,13,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6685",2005,"MSC","4942",0.1,NA,6,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66851",2006,"MSC","4942",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6686",2007,"MSC","4942",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6687",2005,"MSC","4943",0.1,NA,6,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66871",2006,"MSC","4943",NA,NA,6,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6688",2007,"MSC","4943",0.2,NA,8,0.219732178022843,0.219732178022843,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6689",2005,"MSC","4944",0.2,NA,7,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66891",2006,"MSC","4944",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6690",2007,"MSC","4944",0.2,NA,14,0.219732178022843,0.219732178022843,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6691",2005,"MSC","4945",0.2,NA,9,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66911",2006,"MSC","4945",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6692",2007,"MSC","4945",0.2,NA,19,0.219732178022843,0.219732178022843,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6693",2005,"MSC","4946",0.2,NA,7,0.219732178022843,0.219732178022843,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66931",2006,"MSC","4946",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6694",2007,"MSC","4946",0.1,NA,9,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6695",2005,"MSC","4947",0.1,NA,5,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66951",2006,"MSC","4947",NA,NA,5,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6696",2007,"MSC","4947",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6697",2005,"MSC","4948",0.1,NA,7,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66971",2006,"MSC","4948",NA,NA,7,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6698",2007,"MSC","4948",0.2,NA,10,0.219732178022843,0.219732178022843,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6699",2005,"MSC","4949",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"66991",2006,"MSC","4949",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6700",2007,"MSC","4949",0.1,NA,11,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6701",2005,"MSC","4950",0.1,NA,9,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67011",2006,"MSC","4950",NA,NA,9,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6702",2007,"MSC","4950",0.1,NA,14,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6703",2005,"MSC","4951",0.1,NA,11,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67031",2006,"MSC","4951",NA,NA,11,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6704",2007,"MSC","4951",0.1,NA,12,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6705",2005,"MSC","4952",0.1,NA,11,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67051",2006,"MSC","4952",NA,NA,11,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6706",2007,"MSC","4952",0.1,NA,16,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6707",2005,"MSC","4953",0.1,NA,11,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67071",2006,"MSC","4953",NA,NA,11,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6708",2007,"MSC","4953",0.1,NA,13,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6709",2005,"MSC","4954",0.1,NA,11,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67091",2006,"MSC","4954",NA,NA,11,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6710",2007,"MSC","4954",0.1,NA,13,0.169554942890901,0.169554942890901,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6711",2005,"MSC","4955",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67111",2006,"MSC","4955",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6712",2007,"MSC","4955",0.1,NA,NA,0.169554942890901,0.169554942890901,1,2,2007,12.729,14.86,353.13,10910.287,9311.544
"67121",2008,"MSC","4955",NA,NA,NA,NA,NA,NA,0,2008,13.414,15.54,283.43,11309.636,7882.062
"6713",2009,"MSC","4955",NA,NA,NA,NA,NA,0,2,2009,12.529,13.44,595.35,11625.308,9276.037
"6715",2005,"MSC","4956",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67151",2006,"MSC","4956",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6716",2007,"MSC","4956",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6717",2005,"MSC","4957",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67171",2006,"MSC","4957",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
"6718",2007,"MSC","4957",NA,NA,NA,NA,NA,0,2,2007,12.729,14.86,353.13,10910.287,9311.544
"6719",2005,"MSC","4958",0.1,NA,8,0.169554942890901,0.169554942890901,1,0,2005,13.057,14.78,482.06,10577.29,8228.298
"67191",2006,"MSC","4958",NA,NA,8,NA,NA,NA,0,2006,13.271,14.92,199.38,11801.273,10143.376
